Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",40.250000,-96.950000,90.000000,top
"C2","10uF","C_0805_2012Metric",34.914800,-125.780800,0.000000,top
"C3","10uF","C_0805_2012Metric",55.550000,-123.000000,0.000000,top
"C4","10uF","C_0805_2012Metric",47.450000,-115.000000,0.000000,top
"C5","10uF","C_0805_2012Metric",47.259200,-118.465600,0.000000,top
"C6","15pF","C_0805_2012Metric",46.000000,-122.750000,90.000000,top
"C7","15pF","C_0805_2012Metric",56.250000,-127.450000,90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",26.000000,-120.110000,-90.000000,top
"J2","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",56.000000,-116.000000,90.000000,top
"J3","USB_A","USB_A_Receptacle_GCT_USB1046",28.990000,-101.000000,-90.000000,top
"J4","USB_A","USB_A_Receptacle_GCT_USB1046",53.010000,-101.000000,90.000000,top
"J5","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",41.500000,-132.000000,0.000000,top
"R1","5.1k","R_0603_1608Metric",33.675000,-115.000000,0.000000,top
"R2","5.1k","R_0603_1608Metric",32.675000,-118.000000,0.000000,top
"R3","5.1k","R_0603_1608Metric",47.536600,-111.556800,0.000000,top
"R4","5.1k","R_0603_1608Metric",53.683400,-109.575600,0.000000,top
"R5","5.1k","R_0603_1608Metric",39.053000,-125.780800,0.000000,top
"R6","5.1k","R_0603_1608Metric",44.336200,-126.187200,0.000000,top
"U1","SL2.1A","SO16",40.426600,-115.595000,-90.000000,top
"Y1","12Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",50.500000,-131.130000,90.000000,top
